n,matcher_seconds,verifier_seconds
1,1.919999886013102e-06,2.820000099745812e-06
2,1.3800000488117804e-06,2.299999869137537e-06
4,2.3799999326001854e-06,4.019999869342427e-06
8,4.900000021734741e-06,9.360000058222795e-06
16,1.3480000052368269e-05,2.7019999834010378e-05
32,3.928000005544163e-05,8.651999987705495e-05
64,0.00011936000009882264,0.00030242000002544955
128,0.0003894600000421633,0.0011244599998462945
256,0.0014338600001792656,0.004330259999915142
512,0.010568199999943318,0.028210440000020754
